Rapport sur le planning individuel,,SG_fichier pour LM Planning individuel full periode de planif,,,,,,,
Période (dates) :,,6/26/17 - 7/9/17,,,,,,,
Site,Fuseau horaire,Equipe,ID employé,Agent,Date,Heures payées,Etat du planning,Heure de début :,Heure de fin :
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/8/17,7:48,"SG- Campagne Sortant_SG- CRC Nanterre, SG- Telephone ",8:45 AM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:45 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,11:15 AM,11:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,11:30 AM,1:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,1:45 PM,2:42 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Sortant S1,2:42 PM,3:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,3:30 PM,3:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Sortant S1,3:45 PM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/9/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,6/26/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,6/27/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:15 AM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,8:15 AM,10:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,05 Pause Matin,10:15 AM,10:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,10:30 AM,11:50 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Repas 5h,11:50 AM,12:47 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,12:47 PM,3:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,10 Pause AM,3:30 PM,3:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,3:45 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,6/28/17,7:48,SG- Telephone 3933_SG CRC Nanterre,9:00 AM,5:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,9:00 AM,11:20 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,05 Pause Matin,11:20 AM,11:35 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,11:35 AM,12:20 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Repas 5h,12:20 PM,1:17 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,1:17 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,10 Pause AM,4:30 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,03,JPAgent03 JPAgent03,,,Entrant S1,4:45 PM,5:45 PM
